step	accuracy
0	0.4000000059604645
1	0.5523809790611267
2	0.6761904954910278
3	0.800000011920929
4	0.7809523940086365
5	0.8285714387893677
6	0.8952381014823914
7	0.8857142925262451
8	0.961904764175415
9	0.9142857193946838
10	0.9428571462631226
11	0.9428571462631226
12	0.9523809552192688
13	0.8285714387893677
14	0.9428571462631226
15	0.9238095283508301
16	0.961904764175415
17	0.9333333373069763
18	0.961904764175415
19	0.9238095283508301
20	0.9428571462631226
21	0.9714285731315613
22	0.8761904835700989
23	0.9047619104385376
24	0.9523809552192688
25	0.9428571462631226
26	0.9333333373069763
27	0.9809523820877075
28	0.9428571462631226
29	0.9523809552192688
